WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
 GD2EG374JKG2,1,12474,952,0,-3.6
 GD2EG374JKG2,2,12472,954,19.3,-19.3
 GD2EG374JKG2,3,12470,955,19.3,19.3
 GD2EG374JKG2,4,12418,959,-47.5,-36.4
 GD2EG374JKG2,5,12414,960,-57.9,19.3
 GD2EG374JKG2,6,12423,959,-19.3,-57.9
 GD2EG374JKG2,7,12412,960,-19.3,57.9
 GD2EG374JKG2,8,12407,962,71.2,-3.6
 GD2EG374JKG2,9,12381,963,57.9,57.9
 GD2EG374JKG2,10,12358,964,-71.2,61.9
 GD2EG374JKG2,11,12374,963,19.3,-96.5
 GD2EG374JKG2,12,12344,965,19.3,96.5
 GD2EG374JKG2,13,12358,964,96.5,19.3
 GD2EG374JKG2,14,12361,964,71.2,-69.2
 GD2EG374JKG2,15,12325,965,-96.5,-57.9
 GD2EG374JKG2,16,12331,965,-57.9,-96.5
 GD2EG374JKG2,17,12314,966,-57.9,96.5
 GD2EG374JKG2,18,12320,966,94.9,61.8
 GD2EG374JKG2,19,12315,966,-118.6,-3.6
 GD2EG374JKG2,20,12281,968,0,127.4
 GD2EG374JKG2,21,12307,966,0,-134.7
 GD2EG374JKG2,22,12282,968,-96.5,96.5
 GD2EG374JKG2,23,12302,967,96.5,-96.5
 GD2EG374JKG2,24,12289,967,136.2,19.3
 GD2EG374JKG2,25,12381,963,71.2,127.4
 GD2EG374JKG2,26,12416,962,141.9,-35.9
 GD2EG374JKG2,27,12647,953,-136.2,-57.9
 GD2EG374JKG2,28,12634,953,-136.2,57.9
 GD2EG374JKG2,29,12658,953,-57.9,-136.2
 GD2EG374JKG2,30,12625,954,-57.9,136.2
 GD2EG374JKG2,31,12665,953,57.9,-136.2
 GD2EG374JKG2,32,12645,953,136.2,57.9
 FJ8FV462JKE3,1,12394,958,0,-3.6
 FJ8FV462JKE3,2,12408,959,19.3,-19.3
 FJ8FV462JKE3,3,12404,959,19.3,19.3
 FJ8FV462JKE3,4,12360,963,-47.5,-36.4
 FJ8FV462JKE3,5,12371,963,-57.9,19.3
 FJ8FV462JKE3,6,12356,963,-19.3,-57.9
 FJ8FV462JKE3,7,12364,963,-19.3,57.9
 FJ8FV462JKE3,8,12338,965,71.2,-3.6
 FJ8FV462JKE3,9,12311,966,57.9,57.9
 FJ8FV462JKE3,10,12296,966,-71.2,61.9
 FJ8FV462JKE3,11,12275,968,19.3,-96.5
 FJ8FV462JKE3,12,12281,967,19.3,96.5
 FJ8FV462JKE3,13,12283,967,96.5,19.3
 FJ8FV462JKE3,14,12277,967,71.2,-69.2
 FJ8FV462JKE3,15,12253,968,-96.5,-57.9
 FJ8FV462JKE3,16,12243,969,-57.9,-96.5
 FJ8FV462JKE3,17,12245,969,-57.9,96.5
 FJ8FV462JKE3,18,12255,969,94.9,61.8
 FJ8FV462JKE3,19,12231,969,-118.6,-3.6
 FJ8FV462JKE3,20,12232,969,0,127.4
 FJ8FV462JKE3,21,12214,970,0,-134.7
 FJ8FV462JKE3,22,12201,971,-96.5,96.5
 FJ8FV462JKE3,23,12207,970,96.5,-96.5
 FJ8FV462JKE3,24,12229,970,136.2,19.3
 FJ8FV462JKE3,25,12346,965,71.2,127.4
 FJ8FV462JKE3,26,12355,964,141.9,-35.9
 FJ8FV462JKE3,27,12563,956,-136.2,-57.9
 FJ8FV462JKE3,28,12544,956,-136.2,57.9
 FJ8FV462JKE3,29,12574,955,-57.9,-136.2
 FJ8FV462JKE3,30,12570,956,-57.9,136.2
 FJ8FV462JKE3,31,12568,955,57.9,-136.2
 FJ8FV462JKE3,32,12611,955,136.2,57.9
 GD7LB592JKE0,1,12462,955,0,-3.6
 GD7LB592JKE0,2,12448,957,19.3,-19.3
 GD7LB592JKE0,3,12444,957,19.3,19.3
 GD7LB592JKE0,4,12401,961,-47.5,-36.4
 GD7LB592JKE0,5,12406,961,-57.9,19.3
 GD7LB592JKE0,6,12397,961,-19.3,-57.9
 GD7LB592JKE0,7,12406,961,-19.3,57.9
 GD7LB592JKE0,8,12379,964,71.2,-3.6
 GD7LB592JKE0,9,12351,965,57.9,57.9
 GD7LB592JKE0,10,12368,964,-71.2,61.9
 GD7LB592JKE0,11,12330,965,19.3,-96.5
 GD7LB592JKE0,12,12322,966,19.3,96.5
 GD7LB592JKE0,13,12339,966,96.5,19.3
 GD7LB592JKE0,14,12327,966,71.2,-69.2
 GD7LB592JKE0,15,12336,965,-96.5,-57.9
 GD7LB592JKE0,16,12326,965,-57.9,-96.5
 GD7LB592JKE0,17,12327,966,-57.9,96.5
 GD7LB592JKE0,18,12307,967,94.9,61.8
 GD7LB592JKE0,19,12330,966,-118.6,-3.6
 GD7LB592JKE0,20,12283,968,0,127.4
 GD7LB592JKE0,21,12260,969,0,-134.7
 GD7LB592JKE0,22,12316,967,-96.5,96.5
 GD7LB592JKE0,23,12265,969,96.5,-96.5
 GD7LB592JKE0,24,12285,968,136.2,19.3
 GD7LB592JKE0,25,12376,964,71.2,127.4
 GD7LB592JKE0,26,12394,963,141.9,-35.9
