Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,BTM_Mean_Thickness,DMT_Mean_Thickness,Wafer_Example
-135.6,-57.4,8,189.25,7.341,179.65,197.17,1.5,12638.875,12449.625,GH1WJ243JKG6
-135.6,57.4,8,191.357,7.928,180.81,200.33,1.5,12640.5,12449.142,GH1WJ243JKG6
-119.3,-3.3,8,-28.429,5.368,-36.27,-21.4,1.523,12299.125,12327.554,GH1WJ243JKG6
-96.2,-57.4,8,-29.946,5.71,-37.97,-23.29,1.03,12309.5,12339.446,GH1WJ243JKG6
-96.2,96.2,8,-29.494,6.807,-41.21,-22.46,0.707,12287.375,12316.869,GH1WJ243JKG6
-71.6,62.4,8,-27.164,5.104,-34.64,-20.96,1.36,12344.5,12371.664,GH1WJ243JKG6
-57.4,-135.6,8,187.305,8.09,176.3,197.06,1.5,12639.75,12452.445,GH1WJ243JKG6
-57.4,-96.2,8,-31.649,6.276,-41.15,-23.5,1.03,12306.75,12338.399,GH1WJ243JKG6
-57.4,18.6,8,-29.711,5.845,-37.38,-22.71,1.581,12401.5,12431.211,GH1WJ243JKG6
-57.4,96.2,8,-31.022,6.132,-40.42,-23.46,1.03,12309.25,12340.272,GH1WJ243JKG6
-57.4,135.6,8,193.071,12.561,178.16,212.05,1.5,12642.5,12449.429,GH1WJ243JKG6
-47.8,-36.2,8,-27.353,5.308,-34.82,-20.34,0.64,12400.625,12427.978,GH1WJ243JKG6
-18.6,-57.4,8,-29.935,5.31,-38.47,-23.67,1.581,12396.75,12426.685,GH1WJ243JKG6
-18.6,57.4,8,-31.095,5.213,-37.76,-22.03,1.581,12398.625,12429.72,GH1WJ243JKG6
0.0,-134.8,8,-31.355,6.441,-42.68,-24.2,0.3,12278.5,12309.855,GH1WJ243JKG6
0.0,-1.8,8,-29.158,4.346,-36.28,-22.01,3.6,12451.25,12480.408,GH1WJ243JKG6
0.0,126.7,8,-32.276,6.127,-40.34,-25.01,1.4,12285.875,12318.151,GH1WJ243JKG6
18.6,-96.2,8,-29.826,5.365,-36.9,-22.74,1.393,12332.25,12362.076,GH1WJ243JKG6
18.6,-20.2,8,-27.577,4.955,-35.34,-21.21,2.14,12444.0,12471.578,GH1WJ243JKG6
18.6,18.6,8,-28.941,3.876,-34.79,-22.72,1.838,12444.25,12473.191,GH1WJ243JKG6
18.6,96.2,8,-31.55,6.613,-42.06,-23.83,1.393,12329.125,12360.675,GH1WJ243JKG6
57.4,-135.6,8,184.023,8.714,173.33,195.39,1.5,12639.75,12455.728,GH1WJ243JKG6
57.4,57.4,8,-30.012,5.004,-37.08,-22.35,1.273,12355.625,12385.638,GH1WJ243JKG6
71.6,-69.1,8,-28.7,5.194,-35.81,-21.98,0.825,12328.625,12357.325,GH1WJ243JKG6
71.6,-3.3,8,-27.55,5.651,-36.36,-22.46,1.0,12373.875,12401.425,GH1WJ243JKG6
71.6,126.7,8,3.365,10.597,-10.87,22.44,1.612,12389.5,12386.135,GH1WJ243JKG6
95.4,62.4,8,-28.087,6.456,-37.71,-19.58,1.628,12305.375,12333.462,GH1WJ243JKG6
96.2,-96.2,8,-31.459,7.645,-43.0,-22.25,0.707,12282.5,12313.959,GH1WJ243JKG6
96.2,18.6,8,-31.06,5.856,-39.3,-24.42,1.393,12331.5,12362.56,GH1WJ243JKG6
135.6,18.6,8,-28.883,6.442,-39.25,-22.26,1.769,12284.875,12313.758,GH1WJ243JKG6
141.4,-36.0,8,8.945,6.918,0.29,18.38,0.906,12406.375,12397.43,GH1WJ243JKG6
