WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,DMT_X_mm,DMT_Y_mm,DMT_Thickness,Distance_mm,Thickness_Delta,BTM_File,DMT_File
GH1WJ243JKG6,0.0,-3.6,12411.0,0.0,0.0,12433.01,3.6,-22.01000000000022,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,19.3,-19.3,12443.0,18.0,-21.0,12467.32,2.1400934559032696,-24.31999999999971,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,19.3,19.3,12443.0,18.0,18.0,12465.72,1.8384776310850246,-22.719999999999345,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-47.5,-36.4,12418.0,-48.0,-36.0,12438.34,0.640312423743284,-20.340000000000146,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-57.9,19.3,12415.0,-57.0,18.0,12437.71,1.5811388300841893,-22.709999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-19.3,-57.9,12410.0,-18.0,-57.0,12433.67,1.5811388300841893,-23.670000000000073,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-19.3,57.9,12414.0,-18.0,57.0,12436.03,1.5811388300841893,-22.030000000000655,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,71.2,-3.6,12390.0,72.0,-3.0,12412.46,0.9999999999999978,-22.459999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,57.9,57.9,12380.0,57.0,57.0,12402.35,1.2727922061357835,-22.350000000000364,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-71.2,61.9,12368.0,-72.0,63.0,12388.96,1.3601470508735438,-20.959999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,19.3,-96.5,12353.0,18.0,-96.0,12375.74,1.3928388277184127,-22.73999999999978,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,19.3,96.5,12360.0,18.0,96.0,12383.83,1.3928388277184127,-23.829999999999927,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,96.5,19.3,12362.0,96.0,18.0,12386.42,1.3928388277184127,-24.420000000000073,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,71.2,-69.2,12357.0,72.0,-69.0,12378.98,0.82462112512353,-21.979999999999563,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-96.5,-57.9,12331.0,-96.0,-57.0,12354.29,1.0295630140986987,-23.290000000000873,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-57.9,-96.5,12329.0,-57.0,-96.0,12352.5,1.0295630140986987,-23.5,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-57.9,96.5,12340.0,-57.0,96.0,12363.46,1.0295630140986987,-23.459999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,94.9,61.8,12339.0,96.0,63.0,12358.58,1.6278820596099688,-19.579999999999927,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-118.6,-3.6,12321.0,-120.0,-3.0,12342.4,1.523154621172787,-21.399999999999636,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,0.0,127.4,12316.0,0.0,126.0,12341.01,1.4000000000000057,-25.01000000000022,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,0.0,-134.7,12307.0,0.0,-135.0,12332.46,0.30000000000001137,-25.459999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-96.5,96.5,12315.0,-96.0,96.0,12337.46,0.7071067811865476,-22.459999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,96.5,-96.5,12320.0,96.0,-96.0,12342.25,0.7071067811865476,-22.25,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,136.2,19.3,12324.0,135.0,18.0,12346.26,1.769180601295406,-22.26000000000022,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,71.2,127.4,12406.0,72.0,126.0,12396.85,1.6124515496597134,9.149999999999636,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,141.9,-35.9,12459.0,141.0,-36.0,12440.62,0.9055385138137475,18.3799999999992,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-136.2,-57.9,12680.0,-135.0,-57.0,12483.29,1.49999999999999,196.70999999999913,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-136.2,57.9,12684.0,-135.0,57.0,12484.58,1.49999999999999,199.42000000000007,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-57.9,-136.2,12674.0,-57.0,-135.0,12478.4,1.49999999999999,195.60000000000036,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,-57.9,136.2,12661.0,-57.0,135.0,12465.43,1.49999999999999,195.5699999999997,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
GH1WJ243JKG6,57.9,-136.2,12683.0,57.0,-135.0,12487.61,1.49999999999999,195.38999999999942,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,0.0,-3.6,12490.0,0.0,0.0,12517.67,3.6,-27.670000000000073,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,19.3,-19.3,12436.0,18.0,-21.0,12457.21,2.1400934559032696,-21.209999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,19.3,19.3,12435.0,18.0,18.0,12461.96,1.8384776310850246,-26.959999999999127,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-47.5,-36.4,12387.0,-48.0,-36.0,12410.69,0.640312423743284,-23.69000000000051,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-57.9,19.3,12387.0,-57.0,18.0,12410.52,1.5811388300841893,-23.520000000000437,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-19.3,-57.9,12390.0,-18.0,-57.0,12413.94,1.5811388300841893,-23.94000000000051,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-19.3,57.9,12384.0,-18.0,57.0,12412.02,1.5811388300841893,-28.020000000000437,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,71.2,-3.6,12359.0,72.0,-3.0,12381.92,0.9999999999999978,-22.920000000000073,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,57.9,57.9,12343.0,57.0,57.0,12369.47,1.2727922061357835,-26.469999999999345,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-71.2,61.9,12327.0,-72.0,63.0,12351.07,1.3601470508735438,-24.06999999999971,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,19.3,-96.5,12322.0,18.0,-96.0,12349.07,1.3928388277184127,-27.06999999999971,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,19.3,96.5,12315.0,18.0,96.0,12341.61,1.3928388277184127,-26.610000000000582,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,96.5,19.3,12320.0,96.0,18.0,12346.34,1.3928388277184127,-26.340000000000146,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,71.2,-69.2,12319.0,72.0,-69.0,12344.16,0.82462112512353,-25.159999999999854,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-96.5,-57.9,12300.0,-96.0,-57.0,12327.04,1.0295630140986987,-27.040000000000873,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
WMCTA057ESB3,-57.9,-96.5,12303.0,-57.0,-96.0,12329.88,1.0295630140986987,-26.8799999999992,LN1718SS46-7152-12500-DSS.csv,2026-03-27T15.07.06.8611637-LN1718SS46-8333-DMT103-TZJ501-DMTDUMMY.xml
