X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count,Reliability
-132.827,-56.952,11.473,11.473,4.722,8.0,1.659
-132.827,56.952,24.636,24.636,6.606,8.0,1.193
-121.735,-2.712,9.19,9.19,2.14,8.0,3.571
-94.005,-56.952,15.416,15.416,1.173,8.0,6.282
-94.005,94.92,15.58,15.58,1.863,8.0,4.076
-71.821,62.376,9.359,9.359,1.976,8.0,3.853
-55.183,-132.888,1.047,1.047,6.04,8.0,1.303
-55.183,-94.92,16.696,16.696,1.255,8.0,5.903
-55.183,18.984,12.937,12.937,1.903,8.0,3.995
-55.183,94.92,15.474,15.474,1.721,8.0,4.392
-55.183,132.888,32.158,32.158,4.75,8.0,1.649
-49.637,-35.256,8.745,8.745,1.976,8.0,3.854
-16.361,-56.952,14.842,14.842,1.629,8.0,4.627
-16.361,56.952,13.21,13.21,1.413,8.0,5.288
0.277,-132.888,14.158,14.158,2.209,8.0,3.464
0.277,-2.712,13.591,13.591,1.602,8.0,4.701
0.277,127.464,20.203,20.203,0.975,8.0,7.441
16.915,-94.92,14.449,14.449,1.478,8.0,5.07
16.915,-18.984,11.661,11.661,2.292,8.0,3.344
16.915,18.984,12.576,12.576,1.1,8.0,6.666
16.915,94.92,14.52,14.52,1.765,8.0,4.29
55.737,-132.888,-6.09,6.09,8.663,8.0,0.913
55.737,56.952,14.464,14.464,2.047,8.0,3.727
72.375,-67.8,12.78,12.78,1.492,8.0,5.025
72.375,-2.712,9.836,9.836,1.004,8.0,7.246
72.375,127.464,6.464,6.464,2.684,8.0,2.873
94.559,-94.92,18.764,18.764,2.357,8.0,3.256
94.559,18.984,15.101,15.101,2.148,8.0,3.56
94.559,62.376,11.124,11.124,2.263,8.0,3.385
133.381,18.984,23.278,23.278,1.757,8.0,4.309
138.927,-35.256,-42.079,42.079,4.467,8.0,1.752
