Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,DMT_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-135.6,-57.5,8,11.473,5.049,3.6,18.73,1.504,12546.185,12534.712,AANAK055TEB7
-135.6,57.5,8,24.636,7.062,13.32,35.25,1.504,12557.274,12532.637,AANAK055TEB7
-119.3,-3.3,8,9.19,2.288,4.44,11.7,1.499,12407.715,12398.525,AANAK055TEB7
-96.3,-57.5,8,15.416,1.254,13.13,16.87,1.04,12436.604,12421.187,AANAK055TEB7
-96.3,96.3,8,15.58,1.991,12.49,18.27,0.721,12357.655,12342.075,AANAK055TEB7
-71.6,62.4,8,9.359,2.113,5.78,11.73,1.38,12475.534,12466.175,AANAK055TEB7
-57.5,-135.6,8,1.047,6.457,-7.02,11.76,1.504,12534.472,12533.425,AANAK055TEB7
-57.5,-96.3,8,16.696,1.342,14.14,18.42,1.04,12435.509,12418.812,AANAK055TEB7
-57.5,18.7,8,12.937,2.034,10.18,16.48,1.586,12573.988,12561.05,AANAK055TEB7
-57.5,96.3,8,15.474,1.84,13.59,17.84,1.04,12435.624,12420.15,AANAK055TEB7
-57.5,135.6,8,32.158,5.078,24.04,38.62,1.504,12563.645,12531.487,AANAK055TEB7
-47.7,-36.2,8,8.745,2.112,6.16,11.98,0.695,12576.495,12567.75,AANAK055TEB7
-18.7,-57.5,8,14.842,1.741,11.88,17.44,1.586,12574.055,12559.213,AANAK055TEB7
-18.7,57.5,8,13.21,1.51,11.05,15.69,1.586,12572.472,12559.262,AANAK055TEB7
0.0,-134.9,8,14.158,2.362,9.91,17.0,0.247,12361.945,12347.787,AANAK055TEB7
0.0,-1.8,8,13.591,1.712,11.69,15.75,3.662,12646.641,12633.05,AANAK055TEB7
0.0,126.7,8,20.203,1.042,18.15,21.46,1.428,12394.028,12373.825,AANAK055TEB7
18.7,-96.3,8,14.449,1.58,12.19,16.68,1.398,12472.786,12458.338,AANAK055TEB7
18.7,-20.2,8,11.661,2.45,8.15,15.18,2.14,12622.249,12610.587,AANAK055TEB7
18.7,18.7,8,12.576,1.176,10.94,14.13,1.841,12623.439,12610.862,AANAK055TEB7
18.7,96.3,8,14.52,1.887,12.26,17.16,1.398,12473.782,12459.262,AANAK055TEB7
57.5,-135.6,8,-6.09,9.262,-23.15,9.61,1.504,12533.935,12540.025,AANAK055TEB7
57.5,57.5,8,14.464,2.188,11.65,18.44,1.282,12512.364,12497.9,AANAK055TEB7
71.6,-69.1,8,12.78,1.595,10.43,14.75,0.823,12469.592,12456.812,AANAK055TEB7
71.6,-3.3,8,9.836,1.073,8.34,11.9,1.036,12533.286,12523.45,AANAK055TEB7
71.6,126.7,8,6.464,2.87,1.72,9.41,1.635,12333.739,12327.275,AANAK055TEB7
95.5,62.4,8,11.124,2.419,6.8,13.8,1.543,12428.486,12417.363,AANAK055TEB7
96.3,-96.3,8,18.764,2.519,15.09,22.9,0.721,12362.601,12343.838,AANAK055TEB7
96.3,18.7,8,15.101,2.296,12.33,18.75,1.398,12473.226,12458.125,AANAK055TEB7
135.6,18.7,8,23.278,1.878,21.62,27.45,1.771,12355.152,12331.875,AANAK055TEB7
141.7,-36.2,8,-42.079,4.776,-50.72,-37.34,1.467,12332.496,12374.575,AANAK055TEB7
