X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,-143.67,4.0,143.67,4.0,12391.13,12534.8
-135.0,57.0,DMT-TFK,-130.51,9.26,130.51,4.0,12404.12,12534.63
-120.0,-3.0,DMT-TFK,9.79,1.41,9.79,4.0,12410.24,12400.45
-96.0,-57.0,DMT-TFK,15.71,1.04,15.71,4.0,12438.48,12422.77
-96.0,96.0,DMT-TFK,15.51,2.04,15.51,4.0,12362.54,12347.02
-72.0,63.0,DMT-TFK,8.98,1.66,8.98,4.0,12478.61,12469.62
-57.0,-135.0,DMT-TFK,-154.89,5.21,154.89,4.0,12378.36,12533.25
-57.0,-96.0,DMT-TFK,16.02,1.5,16.02,4.0,12437.65,12421.62
-57.0,18.0,DMT-TFK,13.46,2.3,13.46,4.0,12577.61,12564.15
-57.0,96.0,DMT-TFK,16.2,2.04,16.2,4.0,12440.38,12424.18
-57.0,135.0,DMT-TFK,-121.29,6.56,121.29,4.0,12416.56,12537.85
-48.0,-36.0,DMT-TFK,8.62,2.37,8.62,4.0,12580.48,12571.85
-18.0,-57.0,DMT-TFK,14.57,1.14,14.57,4.0,12577.1,12562.53
-18.0,57.0,DMT-TFK,13.6,1.41,13.6,4.0,12577.65,12564.05
0.0,-135.0,DMT-TFK,14.88,1.97,14.88,4.0,12364.2,12349.32
0.0,0.0,DMT-TFK,13.7,2.09,13.7,4.0,12652.45,12638.75
0.0,126.0,DMT-TFK,20.22,0.6,20.22,4.0,12397.9,12377.68
18.0,-96.0,DMT-TFK,13.91,2.12,13.91,4.0,12475.94,12462.03
18.0,-21.0,DMT-TFK,13.28,2.19,13.28,4.0,12627.73,12614.45
18.0,18.0,DMT-TFK,12.98,1.14,12.98,4.0,12629.15,12616.17
18.0,96.0,DMT-TFK,13.73,2.3,13.73,4.0,12477.28,12463.55
57.0,-135.0,DMT-TFK,-162.06,13.45,162.06,4.0,12379.84,12541.9
57.0,57.0,DMT-TFK,14.0,2.0,14.0,4.0,12516.84,12502.85
72.0,-69.0,DMT-TFK,12.62,1.72,12.62,4.0,12471.92,12459.3
72.0,-3.0,DMT-TFK,9.42,0.93,9.42,4.0,12537.3,12527.88
72.0,126.0,DMT-TFK,7.26,2.58,7.26,4.0,12341.71,12334.45
96.0,-96.0,DMT-TFK,20.26,1.82,20.26,4.0,12366.71,12346.45
96.0,18.0,DMT-TFK,13.99,1.21,13.99,4.0,12477.24,12463.25
96.0,63.0,DMT-TFK,12.82,1.45,12.82,4.0,12433.42,12420.6
135.0,18.0,DMT-TFK,23.33,0.45,23.33,4.0,12359.93,12336.6
141.0,-36.0,DMT-TFK,-44.55,5.83,44.55,4.0,12338.35,12382.9
-136.2,-57.9,BTM-DMT,189.25,7.34,189.25,8.0,12638.88,12449.62
-136.2,57.9,BTM-DMT,191.36,7.93,191.36,8.0,12640.5,12449.14
-118.6,-3.6,BTM-DMT,-28.43,5.37,28.43,8.0,12299.12,12327.55
-96.5,-57.9,BTM-DMT,-29.95,5.71,29.95,8.0,12309.5,12339.45
-96.5,96.5,BTM-DMT,-29.49,6.81,29.49,8.0,12287.38,12316.87
-71.2,61.9,BTM-DMT,-27.16,5.1,27.16,8.0,12344.5,12371.66
-57.9,-136.2,BTM-DMT,187.3,8.09,187.3,8.0,12639.75,12452.44
-57.9,-96.5,BTM-DMT,-31.65,6.28,31.65,8.0,12306.75,12338.4
-57.9,19.3,BTM-DMT,-29.71,5.85,29.71,8.0,12401.5,12431.21
-57.9,96.5,BTM-DMT,-31.02,6.13,31.02,8.0,12309.25,12340.27
-57.9,136.2,BTM-DMT,193.07,12.56,193.07,8.0,12642.5,12449.43
-47.5,-36.4,BTM-DMT,-27.35,5.31,27.35,8.0,12400.62,12427.98
-19.3,-57.9,BTM-DMT,-29.94,5.31,29.94,8.0,12396.75,12426.68
-19.3,57.9,BTM-DMT,-31.09,5.21,31.09,8.0,12398.62,12429.72
0.0,-134.7,BTM-DMT,-31.36,6.44,31.36,8.0,12278.5,12309.86
0.0,-3.6,BTM-DMT,-29.16,4.35,29.16,8.0,12451.25,12480.41
0.0,127.4,BTM-DMT,-32.28,6.13,32.28,8.0,12285.88,12318.15
19.3,-96.5,BTM-DMT,-29.83,5.37,29.83,8.0,12332.25,12362.08
19.3,-19.3,BTM-DMT,-27.58,4.95,27.58,8.0,12444.0,12471.58
19.3,19.3,BTM-DMT,-28.94,3.88,28.94,8.0,12444.25,12473.19
19.3,96.5,BTM-DMT,-31.55,6.61,31.55,8.0,12329.12,12360.68
57.9,-136.2,BTM-DMT,184.02,8.71,184.02,8.0,12639.75,12455.73
57.9,57.9,BTM-DMT,-30.01,5.0,30.01,8.0,12355.62,12385.64
71.2,-69.2,BTM-DMT,-28.7,5.19,28.7,8.0,12328.62,12357.32
71.2,-3.6,BTM-DMT,-27.55,5.65,27.55,8.0,12373.88,12401.42
71.2,127.4,BTM-DMT,3.37,10.6,3.37,8.0,12389.5,12386.14
94.9,61.8,BTM-DMT,-28.09,6.46,28.09,8.0,12305.38,12333.46
96.5,-96.5,BTM-DMT,-31.46,7.64,31.46,8.0,12282.5,12313.96
96.5,19.3,BTM-DMT,-31.06,5.86,31.06,8.0,12331.5,12362.56
136.2,19.3,BTM-DMT,-28.88,6.44,28.88,8.0,12284.88,12313.76
141.9,-35.9,BTM-DMT,8.94,6.92,8.94,8.0,12406.38,12397.43
