X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,11.47,5.05,11.47,8.0,12546.18,12534.71
-135.0,57.0,DMT-TFK,24.64,7.06,24.64,8.0,12557.27,12532.64
-120.0,-3.0,DMT-TFK,9.19,2.29,9.19,8.0,12407.72,12398.52
-96.0,-57.0,DMT-TFK,15.42,1.25,15.42,8.0,12436.6,12421.19
-96.0,96.0,DMT-TFK,15.58,1.99,15.58,8.0,12357.66,12342.07
-72.0,63.0,DMT-TFK,9.36,2.11,9.36,8.0,12475.53,12466.17
-57.0,-135.0,DMT-TFK,1.05,6.46,1.05,8.0,12534.47,12533.43
-57.0,-96.0,DMT-TFK,16.7,1.34,16.7,8.0,12435.51,12418.81
-57.0,18.0,DMT-TFK,12.94,2.03,12.94,8.0,12573.99,12561.05
-57.0,96.0,DMT-TFK,15.47,1.84,15.47,8.0,12435.62,12420.15
-57.0,135.0,DMT-TFK,32.16,5.08,32.16,8.0,12563.64,12531.49
-48.0,-36.0,DMT-TFK,8.74,2.11,8.74,8.0,12576.5,12567.75
-18.0,-57.0,DMT-TFK,14.84,1.74,14.84,8.0,12574.06,12559.21
-18.0,57.0,DMT-TFK,13.21,1.51,13.21,8.0,12572.47,12559.26
0.0,-135.0,DMT-TFK,14.16,2.36,14.16,8.0,12361.94,12347.79
0.0,0.0,DMT-TFK,13.59,1.71,13.59,8.0,12646.64,12633.05
0.0,126.0,DMT-TFK,20.2,1.04,20.2,8.0,12394.03,12373.82
18.0,-96.0,DMT-TFK,14.45,1.58,14.45,8.0,12472.79,12458.34
18.0,-21.0,DMT-TFK,11.66,2.45,11.66,8.0,12622.25,12610.59
18.0,18.0,DMT-TFK,12.58,1.18,12.58,8.0,12623.44,12610.86
18.0,96.0,DMT-TFK,14.52,1.89,14.52,8.0,12473.78,12459.26
57.0,-135.0,DMT-TFK,-6.09,9.26,6.09,8.0,12533.94,12540.03
57.0,57.0,DMT-TFK,14.46,2.19,14.46,8.0,12512.36,12497.9
72.0,-69.0,DMT-TFK,12.78,1.6,12.78,8.0,12469.59,12456.81
72.0,-3.0,DMT-TFK,9.84,1.07,9.84,8.0,12533.29,12523.45
72.0,126.0,DMT-TFK,6.46,2.87,6.46,8.0,12333.74,12327.27
96.0,-96.0,DMT-TFK,18.76,2.52,18.76,8.0,12362.6,12343.84
96.0,18.0,DMT-TFK,15.1,2.3,15.1,8.0,12473.23,12458.12
96.0,63.0,DMT-TFK,11.12,2.42,11.12,8.0,12428.49,12417.36
135.0,18.0,DMT-TFK,23.28,1.88,23.28,8.0,12355.15,12331.88
141.0,-36.0,DMT-TFK,-42.08,4.78,42.08,8.0,12332.5,12374.57
-136.2,-57.9,BTM-DMT,189.25,7.34,189.25,8.0,12638.88,12449.62
-136.2,57.9,BTM-DMT,191.36,7.93,191.36,8.0,12640.5,12449.14
-118.6,-3.6,BTM-DMT,-28.43,5.37,28.43,8.0,12299.12,12327.55
-96.5,-57.9,BTM-DMT,-29.95,5.71,29.95,8.0,12309.5,12339.45
-96.5,96.5,BTM-DMT,-29.49,6.81,29.49,8.0,12287.38,12316.87
-71.2,61.9,BTM-DMT,-27.16,5.1,27.16,8.0,12344.5,12371.66
-57.9,-136.2,BTM-DMT,187.3,8.09,187.3,8.0,12639.75,12452.44
-57.9,-96.5,BTM-DMT,-31.65,6.28,31.65,8.0,12306.75,12338.4
-57.9,19.3,BTM-DMT,-29.71,5.85,29.71,8.0,12401.5,12431.21
-57.9,96.5,BTM-DMT,-31.02,6.13,31.02,8.0,12309.25,12340.27
-57.9,136.2,BTM-DMT,193.07,12.56,193.07,8.0,12642.5,12449.43
-47.5,-36.4,BTM-DMT,-27.35,5.31,27.35,8.0,12400.62,12427.98
-19.3,-57.9,BTM-DMT,-29.94,5.31,29.94,8.0,12396.75,12426.68
-19.3,57.9,BTM-DMT,-31.09,5.21,31.09,8.0,12398.62,12429.72
0.0,-134.7,BTM-DMT,-31.36,6.44,31.36,8.0,12278.5,12309.86
0.0,-3.6,BTM-DMT,-29.16,4.35,29.16,8.0,12451.25,12480.41
0.0,127.4,BTM-DMT,-32.28,6.13,32.28,8.0,12285.88,12318.15
19.3,-96.5,BTM-DMT,-29.83,5.37,29.83,8.0,12332.25,12362.08
19.3,-19.3,BTM-DMT,-27.58,4.95,27.58,8.0,12444.0,12471.58
19.3,19.3,BTM-DMT,-28.94,3.88,28.94,8.0,12444.25,12473.19
19.3,96.5,BTM-DMT,-31.55,6.61,31.55,8.0,12329.12,12360.68
57.9,-136.2,BTM-DMT,184.02,8.71,184.02,8.0,12639.75,12455.73
57.9,57.9,BTM-DMT,-30.01,5.0,30.01,8.0,12355.62,12385.64
71.2,-69.2,BTM-DMT,-28.7,5.19,28.7,8.0,12328.62,12357.32
71.2,-3.6,BTM-DMT,-27.55,5.65,27.55,8.0,12373.88,12401.42
71.2,127.4,BTM-DMT,3.37,10.6,3.37,8.0,12389.5,12386.14
94.9,61.8,BTM-DMT,-28.09,6.46,28.09,8.0,12305.38,12333.46
96.5,-96.5,BTM-DMT,-31.46,7.64,31.46,8.0,12282.5,12313.96
96.5,19.3,BTM-DMT,-31.06,5.86,31.06,8.0,12331.5,12362.56
136.2,19.3,BTM-DMT,-28.88,6.44,28.88,8.0,12284.88,12313.76
141.9,-35.9,BTM-DMT,8.94,6.92,8.94,8.0,12406.38,12397.43
