WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness
AANAK056TEG1,0.0,31.0,31.0,0.0,12446.11,12459.65,0.0,91.84,91.35
AANAK061TEE1,0.0,31.0,31.0,0.0,12445.91,12458.62,0.0,91.58,91.95
AANAK067TEA1,0.0,31.0,31.0,0.0,12481.14,12494.21,0.0,94.14,89.58
AANAK091TEC7,0.0,31.0,31.0,0.0,12474.44,12487.77,0.0,93.59,89.1
FJ8FV462JKE3,31.0,0.0,0.0,12340.26,0.0,0.0,116.15,0.0,0.0
GCAZB804MMG2,31.0,0.0,0.0,12377.35,0.0,0.0,118.44,0.0,0.0
GD1TV233JKE1,31.0,0.0,0.0,12385.19,0.0,0.0,122.32,0.0,0.0
GD2EG055JKE1,31.0,0.0,0.0,12444.03,0.0,0.0,124.56,0.0,0.0
GD2EG374JKG2,31.0,0.0,0.0,12411.55,0.0,0.0,117.72,0.0,0.0
GD7LB592JKE0,31.0,0.0,0.0,12400.26,0.0,0.0,120.7,0.0,0.0
GH1WJ243JKG6,31.0,0.0,0.0,12419.77,0.0,0.0,121.86,0.0,0.0
WMCTA057ESB3,31.0,0.0,0.0,12390.32,0.0,0.0,123.74,0.0,0.0
