WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness
AANAK030TEB1,0.0,31.0,31.0,0.0,12468.69,12457.78,0.0,94.0,93.02
AANAK040TEF5,0.0,31.0,31.0,0.0,12496.18,12484.44,0.0,91.78,89.81
AANAK055TEB7,0.0,31.0,31.0,0.0,12489.12,12476.36,0.0,89.33,87.85
AANAK056TEG1,0.0,31.0,31.0,0.0,12471.11,12459.65,0.0,92.96,91.35
AANAK061TEE1,0.0,31.0,31.0,0.0,12470.91,12458.62,0.0,93.0,91.95
AANAK067TEA1,0.0,31.0,31.0,0.0,12506.14,12494.21,0.0,91.55,89.58
AANAK090TEG0,0.0,31.0,31.0,0.0,12463.45,12451.86,0.0,93.91,92.42
AANAK091TEC7,0.0,31.0,31.0,0.0,12499.44,12487.77,0.0,90.4,89.1
FJ8FV462JKE3,31.0,0.0,0.0,12340.26,0.0,0.0,116.15,0.0,0.0
GCAZB804MMG2,31.0,0.0,0.0,12377.35,0.0,0.0,118.44,0.0,0.0
GD1TV233JKE1,31.0,0.0,0.0,12385.19,0.0,0.0,122.32,0.0,0.0
GD2EG055JKE1,31.0,0.0,0.0,12444.03,0.0,0.0,124.56,0.0,0.0
GD2EG374JKG2,31.0,0.0,0.0,12411.55,0.0,0.0,117.72,0.0,0.0
GD7LB592JKE0,31.0,0.0,0.0,12400.26,0.0,0.0,120.7,0.0,0.0
GH1WJ243JKG6,31.0,0.0,0.0,12419.77,0.0,0.0,121.86,0.0,0.0
WMCTA057ESB3,31.0,0.0,0.0,12390.32,0.0,0.0,123.74,0.0,0.0
