WaferID,Tool,Mean_Thickness,Std_Thickness,Count
AANAK056TEG1,DMT,12471.11,92.96,31
AANAK061TEE1,DMT,12470.91,93.0,31
AANAK067TEA1,DMT,12506.14,91.55,31
AANAK091TEC7,DMT,12499.44,90.4,31
AANAK056TEG1,TFK,12459.65,91.35,31
AANAK061TEE1,TFK,12458.62,91.95,31
AANAK067TEA1,TFK,12494.21,89.58,31
AANAK091TEC7,TFK,12487.77,89.1,31
FJ8FV462JKE3,BTM,12340.26,116.15,31
GCAZB804MMG2,BTM,12377.35,118.44,31
GD1TV233JKE1,BTM,12385.19,122.32,31
GD2EG055JKE1,BTM,12444.03,124.56,31
GD2EG374JKG2,BTM,12411.55,117.72,31
GD7LB592JKE0,BTM,12400.26,120.7,31
GH1WJ243JKG6,BTM,12419.77,121.86,31
WMCTA057ESB3,BTM,12390.32,123.74,31
